actor,partner,item,x,unique.pair,selector,male,decision,pair,match.pair,dpair
1,11,1,2,1,1,0,1,1,101,1
1,11,2,2,1,1,0,1,1,101,1
1,11,3,3,1,1,0,1,1,101,1
1,11,4,3,1,1,0,1,1,101,1
1,11,5,3,1,1,0,1,1,101,1
1,12,1,3,2,1,0,1,2,111,2223
1,12,2,2,2,1,0,1,2,111,2223
1,12,3,3,2,1,0,1,2,111,2223
1,12,4,3,2,1,0,1,2,111,2223
1,12,5,3,2,1,0,1,2,111,2223
1,13,1,2,3,1,0,1,3,121,4445
1,13,2,2,3,1,0,1,3,121,4445
1,13,3,3,3,1,0,1,3,121,4445
1,13,4,4,3,1,0,1,3,121,4445
1,13,5,3,3,1,0,1,3,121,4445
1,14,1,3,4,1,0,1,4,131,6667
1,14,2,2,4,1,0,1,4,131,6667
1,14,3,3,4,1,0,1,4,131,6667
1,14,4,3,4,1,0,1,4,131,6667
1,14,5,3,4,1,0,1,4,131,6667
1,15,1,2,5,1,0,1,5,141,7017
1,15,2,2,5,1,0,1,5,141,7017
1,15,3,3,5,1,0,1,5,141,7017
1,15,4,3,5,1,0,1,5,141,7017
1,15,5,2,5,1,0,1,5,141,7017
1,16,1,1,6,1,0,0,6,151,7239
1,16,2,2,6,1,0,0,6,151,7239
1,16,3,1,6,1,0,0,6,151,7239
1,16,4,3,6,1,0,0,6,151,7239
1,16,5,2,6,1,0,0,6,151,7239
1,17,1,3,7,1,0,1,7,161,7461
1,17,2,2,7,1,0,1,7,161,7461
1,17,3,1,7,1,0,1,7,161,7461
1,17,4,3,7,1,0,1,7,161,7461
1,17,5,2,7,1,0,1,7,161,7461
1,18,1,1,8,1,0,0,8,171,7683
1,18,2,2,8,1,0,0,8,171,7683
1,18,3,2,8,1,0,0,8,171,7683
1,18,4,3,8,1,0,0,8,171,7683
1,18,5,2,8,1,0,0,8,171,7683
1,19,1,3,9,1,0,1,9,181,7905
1,19,2,3,9,1,0,1,9,181,7905
1,19,3,4,9,1,0,1,9,181,7905
1,19,4,3,9,1,0,1,9,181,7905
1,19,5,3,9,1,0,1,9,181,7905
1,20,1,2,10,1,0,1,10,191,3
1,20,2,4,10,1,0,1,10,191,3
1,20,3,3,10,1,0,1,10,191,3
1,20,4,2,10,1,0,1,10,191,3
1,20,5,2,10,1,0,1,10,191,3
2,11,1,2,11,1,0,0,11,102,225
2,11,2,2,11,1,0,0,11,102,225
2,11,3,1,11,1,0,0,11,102,225
2,11,4,3,11,1,0,0,11,102,225
2,11,5,2,11,1,0,0,11,102,225
2,12,1,3,12,1,0,0,12,112,447
2,12,2,4,12,1,0,0,12,112,447
2,12,3,2,12,1,0,0,12,112,447
2,12,4,2,12,1,0,0,12,112,447
2,12,5,3,12,1,0,0,12,112,447
2,13,1,2,13,1,0,0,13,122,669
2,13,2,1,13,1,0,0,13,122,669
2,13,3,2,13,1,0,0,13,122,669
2,13,4,4,13,1,0,0,13,122,669
2,13,5,2,13,1,0,0,13,122,669
2,14,1,3,14,1,0,1,14,132,891
2,14,2,2,14,1,0,1,14,132,891
2,14,3,2,14,1,0,1,14,132,891
2,14,4,3,14,1,0,1,14,132,891
2,14,5,3,14,1,0,1,14,132,891
2,15,1,2,15,1,0,0,15,142,1113
2,15,2,3,15,1,0,0,15,142,1113
2,15,3,4,15,1,0,0,15,142,1113
2,15,4,3,15,1,0,0,15,142,1113
2,15,5,3,15,1,0,0,15,142,1113
2,16,1,3,16,1,0,0,16,152,1335
2,16,2,2,16,1,0,0,16,152,1335
2,16,3,1,16,1,0,0,16,152,1335
2,16,4,3,16,1,0,0,16,152,1335
2,16,5,2,16,1,0,0,16,152,1335
2,17,1,3,17,1,0,1,17,162,1557
2,17,2,3,17,1,0,1,17,162,1557
2,17,3,2,17,1,0,1,17,162,1557
2,17,4,4,17,1,0,1,17,162,1557
2,17,5,3,17,1,0,1,17,162,1557
2,18,1,2,18,1,0,0,18,172,1779
2,18,2,4,18,1,0,0,18,172,1779
2,18,3,2,18,1,0,0,18,172,1779
2,18,4,3,18,1,0,0,18,172,1779
2,18,5,2,18,1,0,0,18,172,1779
2,19,1,3,19,1,0,1,19,182,2001
2,19,2,1,19,1,0,1,19,182,2001
2,19,3,4,19,1,0,1,19,182,2001
2,19,4,3,19,1,0,1,19,182,2001
2,19,5,2,19,1,0,1,19,182,2001
2,20,1,2,20,1,0,1,20,192,2225
2,20,2,4,20,1,0,1,20,192,2225
2,20,3,3,20,1,0,1,20,192,2225
2,20,4,3,20,1,0,1,20,192,2225
2,20,5,3,20,1,0,1,20,192,2225
3,11,1,3,21,1,0,0,21,103,2447
3,11,2,3,21,1,0,0,21,103,2447
3,11,3,3,21,1,0,0,21,103,2447
3,11,4,4,21,1,0,0,21,103,2447
3,11,5,3,21,1,0,0,21,103,2447
3,12,1,4,22,1,0,0,22,113,2669
3,12,2,4,22,1,0,0,22,113,2669
3,12,3,3,22,1,0,0,22,113,2669
3,12,4,4,22,1,0,0,22,113,2669
3,12,5,3,22,1,0,0,22,113,2669
3,13,1,3,23,1,0,0,23,123,2891
3,13,2,4,23,1,0,0,23,123,2891
3,13,3,3,23,1,0,0,23,123,2891
3,13,4,4,23,1,0,0,23,123,2891
3,13,5,3,23,1,0,0,23,123,2891
